,Snapshot,SubhaloID,$z$
0,94,4,0.059
1,94,12,0.059
2,94,16,0.059
3,94,20,0.059
4,94,22,0.059
5,94,23,0.059
6,94,35,0.059
7,94,36,0.059
8,94,44,0.059
9,94,52,0.059
10,94,61,0.059
11,94,63,0.059
12,94,67,0.059
13,94,71,0.059
14,94,75,0.059
15,94,85,0.059
16,94,89,0.059
17,94,92,0.059
18,94,94,0.059
19,94,106,0.059
20,94,133,0.059
21,94,143,0.059
22,94,167,0.059
23,94,68947,0.059
24,94,68948,0.059
25,94,68950,0.059
26,94,68951,0.059
27,94,68957,0.059
28,94,68959,0.059
29,94,68962,0.059
30,94,68964,0.059
31,94,68970,0.059
32,94,68972,0.059
33,94,68973,0.059
34,94,68974,0.059
35,94,68975,0.059
36,94,68979,0.059
37,94,68981,0.059
38,94,68983,0.059
39,94,69008,0.059
40,94,69015,0.059
41,94,69028,0.059
42,94,100759,0.059
43,94,100762,0.059
44,94,100769,0.059
45,94,100771,0.059
46,94,100778,0.059
47,94,100781,0.059
48,94,100782,0.059
49,94,100783,0.059
50,94,100786,0.059
51,94,100789,0.059
52,94,100790,0.059
53,94,100807,0.059
54,94,100811,0.059
55,94,119489,0.059
56,94,119493,0.059
57,94,119494,0.059
58,94,119495,0.059
59,94,119497,0.059
60,94,119498,0.059
61,94,119500,0.059
62,94,119501,0.059
63,94,119502,0.059
64,94,119503,0.059
65,94,119505,0.059
66,94,119506,0.059
67,94,119507,0.059
68,94,119509,0.059
69,94,119510,0.059
70,94,119512,0.059
71,94,119514,0.059
72,94,119517,0.059
73,94,119518,0.059
74,94,119519,0.059
75,94,119520,0.059
76,94,119524,0.059
77,94,119527,0.059
78,94,119528,0.059
79,94,119529,0.059
80,94,119531,0.059
81,94,119532,0.059
82,94,119536,0.059
83,94,119537,0.059
84,94,119545,0.059
85,94,119546,0.059
86,94,143793,0.059
87,94,143794,0.059
88,94,143795,0.059
89,94,143796,0.059
90,94,143798,0.059
91,94,143799,0.059
92,94,143801,0.059
93,94,143803,0.059
94,94,143804,0.059
95,94,143805,0.059
96,94,143806,0.059
97,94,143808,0.059
98,94,143810,0.059
99,94,143817,0.059
100,94,143824,0.059
101,94,143833,0.059
102,94,143834,0.059
103,94,160579,0.059
104,94,160581,0.059
105,94,160582,0.059
106,94,160584,0.059
107,94,160585,0.059
108,94,160586,0.059
109,94,160587,0.059
110,94,160588,0.059
111,94,160589,0.059
112,94,160590,0.059
113,94,160591,0.059
114,94,160592,0.059
115,94,160614,0.059
116,94,179628,0.059
117,94,179630,0.059
118,94,179631,0.059
119,94,179636,0.059
120,94,179643,0.059
121,94,179645,0.059
122,94,179653,0.059
123,94,193003,0.059
124,94,193004,0.059
125,94,193009,0.059
126,94,193012,0.059
127,94,193020,0.059
128,94,203231,0.059
129,94,203232,0.059
130,94,203233,0.059
131,94,203234,0.059
132,94,203236,0.059
133,94,203238,0.059
134,94,203239,0.059
135,94,203240,0.059
136,94,203241,0.059
137,94,203242,0.059
138,94,214175,0.059
139,94,214176,0.059
140,94,214179,0.059
141,94,214180,0.059
142,94,214181,0.059
143,94,214182,0.059
144,94,214184,0.059
145,94,214185,0.059
146,94,214196,0.059
147,94,226386,0.059
148,94,226387,0.059
149,94,226388,0.059
150,94,226390,0.059
151,94,226391,0.059
152,94,226395,0.059
153,94,226396,0.059
154,94,226397,0.059
155,94,226401,0.059
156,94,226473,0.059
157,94,226527,0.059
158,94,237681,0.059
159,94,237682,0.059
160,94,237683,0.059
161,94,237685,0.059
162,94,237686,0.059
163,94,237687,0.059
164,94,237691,0.059
165,94,237692,0.059
166,94,237696,0.059
167,94,237697,0.059
168,94,237747,0.059
169,94,247171,0.059
170,94,247177,0.059
171,94,247178,0.059
172,94,247183,0.059
173,94,256096,0.059
174,94,256098,0.059
175,94,256099,0.059
176,94,256100,0.059
177,94,256102,0.059
178,94,256103,0.059
179,94,256104,0.059
180,94,256106,0.059
181,94,256107,0.059
182,94,256109,0.059
183,94,256110,0.059
184,94,256111,0.059
185,94,256112,0.059
186,94,265991,0.059
187,94,265992,0.059
188,94,265994,0.059
189,94,265995,0.059
190,94,265997,0.059
191,94,265999,0.059
192,94,266001,0.059
193,94,266002,0.059
194,94,273147,0.059
195,94,273148,0.059
196,94,273153,0.059
197,94,273157,0.059
198,94,273158,0.059
199,94,280321,0.059
200,94,280324,0.059
201,94,280329,0.059
202,94,280332,0.059
203,94,285676,0.059
204,94,285677,0.059
205,94,285679,0.059
206,94,291935,0.059
207,94,291936,0.059
208,94,291942,0.059
209,94,291945,0.059
210,94,291946,0.059
211,94,291950,0.059
212,94,297344,0.059
213,94,297346,0.059
214,94,297347,0.059
215,94,297348,0.059
216,94,297349,0.059
217,94,297351,0.059
218,94,303244,0.059
219,94,303247,0.059
220,94,303249,0.059
221,94,303250,0.059
222,94,303256,0.059
223,94,309324,0.059
224,94,309325,0.059
225,94,309326,0.059
226,94,309327,0.059
227,94,309329,0.059
228,94,313939,0.059
229,94,313942,0.059
230,94,313945,0.059
231,94,318956,0.059
232,94,318957,0.059
233,94,318959,0.059
234,94,318960,0.059
235,94,318961,0.059
236,94,318962,0.059
237,94,323247,0.059
238,94,323248,0.059
239,94,323249,0.059
240,94,323250,0.059
241,94,323251,0.059
242,94,323252,0.059
243,94,323253,0.059
244,94,327651,0.059
245,94,327654,0.059
246,94,327658,0.059
247,94,331220,0.059
248,94,331222,0.059
249,94,331223,0.059
250,94,331224,0.059
251,94,331225,0.059
252,94,331227,0.059
253,94,334347,0.059
254,94,334348,0.059
255,94,334353,0.059
256,94,334361,0.059
257,94,337424,0.059
258,94,337425,0.059
259,94,337426,0.059
260,94,337428,0.059
261,94,337435,0.059
262,94,340919,0.059
263,94,340921,0.059
264,94,340922,0.059
265,94,344125,0.059
266,94,344126,0.059
267,94,344127,0.059
268,94,344128,0.059
269,94,344132,0.059
270,94,344134,0.059
271,94,344159,0.059
272,94,344185,0.059
273,94,347150,0.059
274,94,347152,0.059
275,94,347153,0.059
276,94,347157,0.059
277,94,347162,0.059
278,94,349224,0.059
279,94,349225,0.059
280,94,349226,0.059
281,94,349227,0.059
282,94,351340,0.059
283,94,351341,0.059
284,94,351342,0.059
285,94,351343,0.059
286,94,353151,0.059
287,94,353152,0.059
288,94,353153,0.059
289,94,353155,0.059
290,94,353156,0.059
291,94,353159,0.059
292,94,355551,0.059
293,94,355552,0.059
294,94,355553,0.059
295,94,355555,0.059
296,94,360957,0.059
297,94,362709,0.059
298,94,362710,0.059
299,94,362711,0.059
300,94,362715,0.059
301,94,365490,0.059
302,94,365491,0.059
303,94,365492,0.059
304,94,365493,0.059
305,94,365494,0.059
306,94,367876,0.059
307,94,367877,0.059
308,94,369618,0.059
309,94,371077,0.059
310,94,371078,0.059
311,94,371079,0.059
312,94,373388,0.059
313,94,373389,0.059
314,94,373390,0.059
315,94,373391,0.059
316,94,373392,0.059
317,94,375641,0.059
318,94,375642,0.059
319,94,375643,0.059
320,94,378054,0.059
321,94,378056,0.059
322,94,378057,0.059
323,94,378058,0.059
324,94,381412,0.059
325,94,381413,0.059
326,94,381414,0.059
327,94,383379,0.059
328,94,383382,0.059
329,94,385243,0.059
330,94,385246,0.059
331,94,387297,0.059
332,94,389288,0.059
333,94,389289,0.059
334,94,390875,0.059
335,94,390877,0.059
336,94,392648,0.059
337,94,392649,0.059
338,94,392652,0.059
339,94,394658,0.059
340,94,394659,0.059
341,94,396090,0.059
342,94,396093,0.059
343,94,396094,0.059
344,94,399146,0.059
345,94,399147,0.059
346,94,399151,0.059
347,94,401125,0.059
348,94,402946,0.059
349,94,404392,0.059
350,94,404393,0.059
351,94,404394,0.059
352,94,405847,0.059
353,94,407207,0.059
354,94,407209,0.059
355,94,408859,0.059
356,94,408860,0.059
357,94,408861,0.059
358,94,410066,0.059
359,94,410067,0.059
360,94,410069,0.059
361,94,410070,0.059
362,94,410072,0.059
363,94,411504,0.059
364,94,411507,0.059
365,94,413415,0.059
366,94,413416,0.059
367,94,413417,0.059
368,94,413419,0.059
369,94,413421,0.059
370,94,414775,0.059
371,94,414778,0.059
372,94,414788,0.059
373,94,416099,0.059
374,94,416101,0.059
375,94,416102,0.059
376,94,417124,0.059
377,94,417126,0.059
378,94,418171,0.059
379,94,418173,0.059
380,94,418174,0.059
381,94,418175,0.059
382,94,420855,0.059
383,94,420856,0.059
384,94,421902,0.059
385,94,421903,0.059
386,94,421904,0.059
387,94,421905,0.059
388,94,421909,0.059
389,94,423061,0.059
390,94,423062,0.059
391,94,424166,0.059
392,94,424170,0.059
393,94,425260,0.059
394,94,425261,0.059
395,94,425262,0.059
396,94,427696,0.059
397,94,427697,0.059
398,94,429072,0.059
399,94,430064,0.059
400,94,430065,0.059
401,94,430066,0.059
402,94,430067,0.059
403,94,430068,0.059
404,94,430070,0.059
405,94,431307,0.059
406,94,431308,0.059
407,94,432854,0.059
408,94,432855,0.059
409,94,432856,0.059
410,94,434061,0.059
411,94,434836,0.059
412,94,436007,0.059
413,94,436008,0.059
414,94,437211,0.059
415,94,438162,0.059
416,94,439127,0.059
417,94,439128,0.059
418,94,439131,0.059
419,94,440282,0.059
420,94,442430,0.059
421,94,442431,0.059
422,94,442432,0.059
423,94,442433,0.059
424,94,442434,0.059
425,94,443609,0.059
426,94,443610,0.059
427,94,443612,0.059
428,94,444819,0.059
429,94,444820,0.059
430,94,445977,0.059
431,94,447032,0.059
432,94,447033,0.059
433,94,447034,0.059
434,94,447039,0.059
435,94,448099,0.059
436,94,448100,0.059
437,94,449065,0.059
438,94,449066,0.059
439,94,450311,0.059
440,94,451222,0.059
441,94,451224,0.059
442,94,451225,0.059
443,94,451227,0.059
444,94,452335,0.059
445,94,453205,0.059
446,94,454269,0.059
447,94,455175,0.059
448,94,456025,0.059
449,94,456026,0.059
450,94,456849,0.059
451,94,456851,0.059
452,94,457934,0.059
453,94,458456,0.059
454,94,458457,0.059
455,94,459281,0.059
456,94,459991,0.059
457,94,460604,0.059
458,94,460605,0.059
459,94,460606,0.059
460,94,460607,0.059
461,94,461572,0.059
462,94,461573,0.059
463,94,461574,0.059
464,94,462671,0.059
465,94,462672,0.059
466,94,462673,0.059
467,94,462674,0.059
468,94,462675,0.059
469,94,462676,0.059
470,94,462677,0.059
471,94,463497,0.059
472,94,463498,0.059
473,94,463499,0.059
474,94,463500,0.059
475,94,463501,0.059
476,94,463502,0.059
477,94,464983,0.059
478,94,464984,0.059
479,94,465712,0.059
480,94,465713,0.059
481,94,466634,0.059
482,94,466635,0.059
483,94,466636,0.059
484,94,467980,0.059
485,94,468845,0.059
486,94,469413,0.059
487,94,469414,0.059
488,94,470108,0.059
489,94,470109,0.059
490,94,471586,0.059
491,94,472435,0.059
492,94,472437,0.059
493,94,472438,0.059
494,94,472439,0.059
495,94,473384,0.059
496,94,473385,0.059
497,94,473386,0.059
498,94,474080,0.059
499,94,475874,0.059
500,94,475875,0.059
501,94,475876,0.059
502,94,475877,0.059
503,94,476622,0.059
504,94,476623,0.059
505,94,476624,0.059
506,94,478221,0.059
507,94,478222,0.059
508,94,478223,0.059
509,94,478831,0.059
510,94,478832,0.059
511,94,479449,0.059
512,94,480298,0.059
513,94,480299,0.059
514,94,481051,0.059
515,94,481052,0.059
516,94,481801,0.059
517,94,481804,0.059
518,94,481805,0.059
519,94,482798,0.059
520,94,482799,0.059
521,94,483389,0.059
522,94,484104,0.059
523,94,485157,0.059
524,94,485158,0.059
525,94,485588,0.059
526,94,485589,0.059
527,94,486262,0.059
528,94,487267,0.059
529,94,487268,0.059
530,94,487269,0.059
531,94,487270,0.059
532,94,488061,0.059
533,94,488062,0.059
534,94,488064,0.059
535,94,488557,0.059
536,94,488558,0.059
537,94,489153,0.059
538,94,489154,0.059
539,94,489748,0.059
540,94,490198,0.059
541,94,490954,0.059
542,94,491614,0.059
543,94,491615,0.059
544,94,492151,0.059
545,94,492691,0.059
546,94,492692,0.059
547,94,493243,0.059
548,94,493245,0.059
549,94,493246,0.059
550,94,493772,0.059
551,94,494352,0.059
552,94,494883,0.059
553,94,494884,0.059
554,94,494885,0.059
555,94,495444,0.059
556,94,495445,0.059
557,94,495991,0.059
558,94,496649,0.059
559,94,496650,0.059
560,94,497628,0.059
561,94,497905,0.059
562,94,497906,0.059
563,94,497907,0.059
564,94,499272,0.059
565,94,499273,0.059
566,94,500132,0.059
567,94,500136,0.059
568,94,500719,0.059
569,94,500720,0.059
570,94,500721,0.059
571,94,501345,0.059
572,94,501875,0.059
573,94,502789,0.059
574,94,502790,0.059
575,94,502791,0.059
576,94,503448,0.059
577,94,503449,0.059
578,94,503451,0.059
579,94,504060,0.059
580,94,504062,0.059
581,94,504526,0.059
582,94,504527,0.059
583,94,505180,0.059
584,94,505553,0.059
585,94,505554,0.059
586,94,505555,0.059
587,94,506140,0.059
588,94,506141,0.059
589,94,506142,0.059
590,94,506143,0.059
591,94,507044,0.059
592,94,507046,0.059
593,94,507509,0.059
594,94,507510,0.059
595,94,507912,0.059
596,94,508258,0.059
597,94,508804,0.059
598,94,508805,0.059
599,94,509963,0.059
600,94,510438,0.059
601,94,510439,0.059
602,94,511019,0.059
603,94,511517,0.059
604,94,511910,0.059
605,94,511911,0.059
606,94,511912,0.059
607,94,511913,0.059
608,94,512390,0.059
609,94,512391,0.059
610,94,512827,0.059
611,94,513349,0.059
612,94,513350,0.059
613,94,513867,0.059
614,94,514346,0.059
615,94,514855,0.059
616,94,514856,0.059
617,94,515347,0.059
618,94,515348,0.059
619,94,515350,0.059
620,94,515782,0.059
621,94,515783,0.059
622,94,516278,0.059
623,94,517296,0.059
624,94,517588,0.059
625,94,517978,0.059
626,94,518374,0.059
627,94,518375,0.059
628,94,518760,0.059
629,94,518761,0.059
630,94,518763,0.059
631,94,519369,0.059
632,94,519370,0.059
633,94,519772,0.059
634,94,519773,0.059
635,94,520300,0.059
636,94,520877,0.059
637,94,520878,0.059
638,94,521577,0.059
639,94,521578,0.059
640,94,522098,0.059
641,94,522099,0.059
642,94,522100,0.059
643,94,522585,0.059
644,94,523095,0.059
645,94,523563,0.059
646,94,523564,0.059
647,94,524035,0.059
648,94,524276,0.059
649,94,524277,0.059
650,94,524671,0.059
651,94,525077,0.059
652,94,525479,0.059
653,94,525480,0.059
654,94,525914,0.059
655,94,525915,0.059
656,94,526615,0.059
657,94,526946,0.059
658,94,527287,0.059
659,94,527288,0.059
660,94,527289,0.059
661,94,527291,0.059
662,94,527564,0.059
663,94,527928,0.059
664,94,528573,0.059
665,94,528913,0.059
666,94,528914,0.059
667,94,529254,0.059
668,94,529620,0.059
669,94,529621,0.059
670,94,529622,0.059
671,94,530066,0.059
672,94,530325,0.059
673,94,530632,0.059
674,94,531098,0.059
675,94,531099,0.059
676,94,531100,0.059
677,94,531525,0.059
678,94,531784,0.059
679,94,532175,0.059
680,94,532176,0.059
681,94,532461,0.059
682,94,533163,0.059
683,94,533965,0.059
684,94,534230,0.059
685,94,535005,0.059
686,94,535328,0.059
687,94,536120,0.059
688,94,536387,0.059
689,94,536388,0.059
690,94,536389,0.059
691,94,536777,0.059
692,94,537127,0.059
693,94,537129,0.059
694,94,537131,0.059
695,94,537528,0.059
696,94,538276,0.059
697,94,538277,0.059
698,94,538601,0.059
699,94,538912,0.059
700,94,539137,0.059
701,94,539306,0.059
702,94,539307,0.059
703,94,539681,0.059
704,94,539971,0.059
705,94,540354,0.059
706,94,540355,0.059
707,94,540730,0.059
708,94,540731,0.059
709,94,541402,0.059
710,94,541632,0.059
711,94,541991,0.059
712,94,541992,0.059
713,94,542299,0.059
714,94,542747,0.059
715,94,542748,0.059
716,94,542750,0.059
717,94,543102,0.059
718,94,543327,0.059
719,94,543661,0.059
720,94,543862,0.059
721,94,544126,0.059
722,94,544894,0.059
723,94,545227,0.059
724,94,545228,0.059
725,94,545514,0.059
726,94,545515,0.059
727,94,545896,0.059
728,94,546202,0.059
729,94,546554,0.059
730,94,546555,0.059
731,94,546556,0.059
732,94,546890,0.059
733,94,546891,0.059
734,94,547219,0.059
735,94,547727,0.059
736,94,547728,0.059
737,94,548306,0.059
738,94,548309,0.059
739,94,548564,0.059
740,94,548916,0.059
741,94,549258,0.059
742,94,549577,0.059
743,94,549925,0.059
744,94,549926,0.059
745,94,550698,0.059
746,94,550699,0.059
747,94,551169,0.059
748,94,551525,0.059
749,94,551858,0.059
750,94,552080,0.059
751,94,552081,0.059
752,94,552524,0.059
753,94,552525,0.059
754,94,552527,0.059
755,94,552859,0.059
756,94,552860,0.059
757,94,552861,0.059
758,94,553245,0.059
759,94,553705,0.059
760,94,553993,0.059
761,94,553994,0.059
762,94,553995,0.059
763,94,553996,0.059
764,94,554258,0.059
765,94,554259,0.059
766,94,554260,0.059
767,94,554489,0.059
768,94,554768,0.059
769,94,554965,0.059
770,94,554966,0.059
771,94,554967,0.059
772,94,554968,0.059
773,94,555707,0.059
774,94,555709,0.059
775,94,556116,0.059
776,94,556309,0.059
777,94,556310,0.059
