z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
0.0,99,8,76372976000.0,6354807300.0,29135325000.0,40794510000.0,3.5303178,191.9302,1.4042606,90.31834,4.8027377
0.0,99,20,43902480000.0,1583124700.0,14602855000.0,27657198000.0,0.8056382,155.35207,6.49822,85.644264,3.9601936
0.0,99,44,19745620000.0,3024239400.0,3148515600.0,13563384000.0,0.9124221,100.277756,8.579496,56.704617,4.226481
0.0,99,45,9927869000.0,572040300.0,1236579000.0,8113436700.0,0.10097768,83.977585,13.922999,45.21598,3.2726533
0.0,99,48,8473014000.0,318281380.0,1410007800.0,6737224000.0,0.054930788,88.89943,9.101552,48.15991,2.430888
0.0,99,57,5302787000.0,426603700.0,669257540.0,4202598000.0,0.13707972,76.229744,7.5938225,41.181126,2.0303805
0.0,99,63,13304893000.0,505875840.0,2244343300.0,10545517000.0,0.25470123,94.788994,10.164505,57.44113,3.2383652
0.0,99,69,2566829800.0,128802730.0,289084800.0,2148942300.0,0.041964635,66.98306,16.92683,36.6874,1.7641112
0.0,99,81,656761340.0,60029852.0,125788390.0,469627360.0,0.035468034,57.781853,19.97935,32.852158,0.6526322
0.0,99,83,5806191000.0,417691460.0,653333500.0,4732573000.0,0.105071984,76.18982,9.050395,43.446285,2.2620544
0.0,99,119,877872300.0,54153504.0,158073140.0,665645760.0,0.023951449,54.35505,14.592588,31.73505,0.85200787
0.0,99,141,2287514400.0,106992860.0,193112910.0,1987408600.0,0.04004319,71.60406,7.6880927,46.702038,1.3022468
0.0,99,154,1544804400.0,109112120.0,207854930.0,1227837300.0,0.030680114,52.97901,10.746594,29.908844,1.3384212
0.0,99,202,810970430.0,74785150.0,162650060.0,573535300.0,0.03468038,46.682816,3.7702837,26.855663,0.8721848
0.0,99,63865,563042500000.0,15026333000.0,243979780000.0,303366600000.0,4.9283113,459.27338,1.5180795,194.97334,10.471952
0.0,99,63868,189133100000.0,11931582000.0,62684795000.0,114337710000.0,4.8467984,250.91591,1.2271943,137.9812,7.4374905
0.0,99,63881,24816530000.0,1944029600.0,4314448000.0,18542795000.0,0.40109584,110.18252,9.471948,57.330444,4.4082627
0.0,99,63889,15992657000.0,1476755200.0,2199758300.0,12306506000.0,0.50846463,106.099396,11.835635,64.98351,3.230845
0.0,99,63890,4231714600.0,201829680.0,505622180.0,3519255800.0,0.06865284,81.39098,11.221863,43.29911,1.7019218
0.0,99,63895,13069166000.0,1710729200.0,1382483200.0,9968351000.0,0.4406978,89.41086,9.16372,50.74161,3.583666
0.0,99,63909,1462197000.0,100897850.0,237823470.0,1123475700.0,0.05975905,66.99631,13.937664,35.838547,1.2552899
0.0,99,63943,7288489500.0,159853500.0,1456774100.0,5664568300.0,0.06322223,70.82624,6.666746,41.356056,3.134176
0.0,99,96765,90772630000.0,3134246100.0,23983830000.0,63529923000.0,0.8952426,191.28644,1.6995474,104.281456,5.936686
