z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.074,48,11,43248330000.0,4337702400.0,12018653000.0,26869037000.0,4.7559524,175.42213,4.8956547,99.06852,3.0966308
1.074,48,17,18989310000.0,3262791400.0,2362379000.0,13357384000.0,2.0299392,109.81759,8.763065,65.652275,3.4302208
1.074,48,20,20466964000.0,2825632500.0,783253900.0,16855766000.0,0.87682223,109.7746,13.222256,64.19094,4.0855207
1.074,48,21,19034022000.0,4080476400.0,2000082600.0,12947649000.0,2.8708112,114.47521,7.579949,62.416004,3.1706913
1.074,48,51,5755944400.0,1042806900.0,322235170.0,4390902300.0,0.46780196,78.09932,5.2891912,47.919613,2.0995495
1.074,48,66,1452159100.0,1333213400.0,118945656.0,0.0,0.62896264,38.346233,3.0843058,19.26928,2.3869622
1.074,48,142,779286140.0,666336450.0,112949680.0,0.0,0.3382974,29.81659,3.1781476,15.989196,1.97676
1.074,48,162,797169540.0,623682900.0,172579070.0,907492.44,0.68992734,44.032505,1.3536476,18.703527,0.9570983
1.074,48,204,599220200.0,477506940.0,121713300.0,0.0,0.4330443,37.933865,1.5228332,14.217666,0.9300126
1.074,48,272,409146200.0,279408030.0,129738140.0,0.0,0.235438,36.175358,1.2296067,12.4902115,0.6792284
1.074,48,20837,48457990000.0,7514033000.0,8575201300.0,32344850000.0,5.2833414,162.90984,6.630865,92.178345,3.9356203
1.074,48,20838,34906276000.0,3377347600.0,13649408000.0,17849470000.0,4.3248005,188.53546,1.9842774,97.55294,2.2666461
1.074,48,37660,64268194000.0,9489508000.0,17360337000.0,37378257000.0,15.225825,207.73537,24.694578,124.5819,3.8070238
1.074,48,37661,35210600000.0,5975774000.0,10151644000.0,19054619000.0,7.343548,174.56566,3.564365,90.34184,2.550898
1.074,48,37664,50247390000.0,5719861000.0,5234928000.0,39277638000.0,2.5875473,154.75177,25.733675,86.465836,5.4468093
1.074,48,37673,20431452000.0,3192685800.0,2465911800.0,14767625000.0,1.8127272,120.37217,15.076891,71.78155,3.1713574
1.074,48,37675,36597720000.0,4315802000.0,1348216000.0,30933699000.0,1.9458967,121.04616,13.244557,72.254105,5.443426
1.074,48,37676,21608830000.0,3154055200.0,4129468200.0,14314333000.0,2.4888926,126.95602,3.9456832,71.63999,2.9355898
1.074,48,50936,107890524000.0,12009022000.0,23673324000.0,72157450000.0,5.239786,195.83723,15.012988,110.30573,6.106884
1.074,48,50937,70636990000.0,7841770000.0,10759100000.0,52012480000.0,3.2739785,165.71393,17.185207,95.562675,5.794962
1.074,48,50941,99188630000.0,15080948000.0,15592665000.0,68488460000.0,19.116108,177.93008,8.4340925,106.42579,7.181578
1.074,48,50942,33612714000.0,4692569000.0,7291161000.0,21616017000.0,2.398129,139.7998,9.730826,78.24582,3.7570102
1.074,48,50943,42690990000.0,10319338000.0,6398339600.0,25962455000.0,8.306881,149.83336,9.49517,85.794624,4.1241274
1.074,48,50965,7650409500.0,1033767800.0,606689800.0,6006239000.0,0.41109046,83.326225,8.908503,51.271477,2.4065843
1.074,48,64765,46610250000.0,7513434600.0,13345919000.0,25730587000.0,6.2468424,167.38557,2.9126618,89.58723,3.9044795
1.074,48,64767,35957797000.0,4079678000.0,12541463000.0,19302820000.0,3.3605978,171.00485,3.7942512,89.73518,2.7271101
1.074,48,64769,19869897000.0,2643809500.0,3860002300.0,13353753000.0,1.908897,128.8833,5.3157234,73.84337,2.5766728
1.074,48,64771,15735994000.0,2583362000.0,3043166200.0,10100846000.0,2.087448,111.92545,4.1783886,67.3922,2.7210257
1.074,48,64791,3392686000.0,762732540.0,312671420.0,2317282300.0,0.4312605,67.81538,3.1932526,40.02848,1.5884526
1.074,48,73921,876792840000.0,60694897000.0,267425990000.0,548011150000.0,48.793655,631.0221,1.0425991,297.6821,10.588073
1.074,48,73924,46267417000.0,6289345000.0,4538030000.0,35433500000.0,1.7634399,130.86804,14.660591,74.840065,5.8569546
1.074,48,73925,24844407000.0,3200934000.0,6212959000.0,15406953000.0,2.3310738,142.69849,9.9868355,87.53461,2.8052878
1.074,48,73927,14181279000.0,1758068100.0,1138982700.0,11280586000.0,0.7217508,101.445335,11.678758,59.087116,3.1208415
1.074,48,73928,17189829000.0,2052519700.0,1077040900.0,14056152000.0,0.7509792,104.38641,12.162091,64.473946,3.5411692
1.074,48,81224,310233800000.0,35846857000.0,80611070000.0,193653900000.0,49.90881,321.94724,144.3388,231.12369,7.781617
1.074,48,81226,61999430000.0,4692038700.0,28830505000.0,28388180000.0,7.9542193,284.28537,0.5362153,122.40443,2.6561558
1.074,48,81230,89501140000.0,11095045000.0,34722190000.0,43581424000.0,12.7735195,257.1711,0.6346273,150.14491,3.0836213
1.074,48,81232,48627597000.0,8440895500.0,9701087000.0,30474054000.0,4.7179217,153.53575,44.971794,92.24509,4.9232287
1.074,48,81233,17558209000.0,2490319000.0,3890726100.0,11170779000.0,1.6290395,125.01693,39.45805,74.88109,2.6743627
1.074,48,81234,12615446000.0,1771237900.0,3627907800.0,7206398000.0,3.3038087,135.39766,1.3526947,74.274506,1.5876678
1.074,48,81236,27754328000.0,6592077300.0,10051719000.0,11092734000.0,25.30949,167.0899,2.1642184,98.4884,2.365062
1.074,48,81249,6926016000.0,1021709000.0,503365470.0,5400941600.0,0.37195444,78.33504,6.7730503,48.546726,2.521422
1.074,48,81260,4038933800.0,829910140.0,687487700.0,2517384200.0,0.75945175,79.76684,2.440263,45.329018,1.380012
1.074,48,81281,1328645100.0,411165250.0,552667840.0,364811970.0,0.46607295,64.14427,1.0007827,30.78449,0.72804487
1.074,48,87976,404797420000.0,11283334000.0,198857520000.0,194254210000.0,32.22272,607.0572,0.9603112,312.10037,6.270086
1.074,48,87977,246207120000.0,20424110000.0,146240180000.0,79075260000.0,38.306984,558.5177,0.7533231,246.75357,3.2057765
1.074,48,87978,33215924000.0,4006632200.0,16349940000.0,12816970000.0,12.885469,229.48337,0.6398064,101.08488,1.6535524
1.074,48,87979,39006925000.0,7831006000.0,9646573000.0,21506212000.0,8.649284,168.6489,6.3942313,94.252594,2.9587574
1.074,48,87983,16429155000.0,1769900800.0,4332766700.0,10305031000.0,1.902639,131.9946,2.5951717,77.6478,2.109428
1.074,48,94123,110056510000.0,10992307000.0,43725580000.0,55171457000.0,17.974928,291.18845,0.63940245,153.71204,3.3407075
1.074,48,94125,15283003000.0,1884945900.0,3608358100.0,9779593000.0,1.9927557,121.13134,2.347882,68.76037,2.3096561
1.074,48,94128,33825790000.0,4351197000.0,2916585200.0,26550053000.0,1.301722,121.829765,12.59575,69.8517,4.9783554
1.074,48,98845,610386000000.0,68573120000.0,261163020000.0,280027660000.0,99.14815,612.80774,0.94427,253.77896,6.6743097
1.074,48,98847,69590070000.0,7536660000.0,29361277000.0,32539050000.0,12.2364645,299.2207,0.6266421,150.53467,2.280811
1.074,48,103479,153232470000.0,9104577000.0,68959460000.0,74964330000.0,11.939542,392.54196,0.61991,172.17282,3.9248314
1.074,48,106848,20940340000.0,3383332600.0,2295622400.0,15255404000.0,1.4277405,122.46159,23.799295,71.4191,3.3901215
1.074,48,111092,13840370000.0,2138920400.0,3087590100.0,8608020000.0,1.5195565,113.72871,5.9770384,68.46108,2.3212411
1.074,48,111094,9688383000.0,1924886700.0,1131043000.0,6628325400.0,0.93720603,82.25638,4.622964,50.13262,3.128792
1.074,48,114892,188021390000.0,20628224000.0,63683900000.0,103588905000.0,20.62814,290.00912,8.596724,159.21973,4.8249416
1.074,48,121900,645377160000.0,39754760000.0,262216810000.0,342958200000.0,43.85298,545.3985,0.8819708,237.77376,7.6495023
1.074,48,121902,18679073000.0,1278077200.0,6690643000.0,10679825000.0,2.3337476,178.5477,0.4449837,82.24094,2.1918654
1.074,48,121903,10678613000.0,1272433700.0,4344640000.0,5061539300.0,3.2930393,137.18407,0.6656704,75.965294,1.6485041
1.074,48,125447,187705360000.0,17938055000.0,101448880000.0,67901310000.0,43.595375,570.39685,0.435119,200.14876,2.8009906
1.074,48,125451,21052447000.0,2886148900.0,3014682600.0,15145143000.0,1.7821984,122.10772,6.747992,65.17214,3.0469909
1.074,48,125454,10432819000.0,1119622300.0,3233084000.0,6064318500.0,1.5807166,131.95692,1.8225656,75.4145,1.3310369
1.074,48,129009,250652800000.0,24608280000.0,131199850000.0,94607460000.0,69.26017,438.35138,0.9867791,185.3931,3.1992483
1.074,48,129010,133808620000.0,11654517000.0,61617566000.0,60322386000.0,15.837037,348.6236,0.6471833,161.65628,3.286736
1.074,48,129030,1120988400.0,987192060.0,128805304.0,4991208.5,0.991464,45.185886,1.946433,21.510561,1.2994233
1.074,48,132102,123641960000.0,16147276000.0,25185442000.0,82263745000.0,9.36549,211.6732,10.990792,126.96422,5.952852
1.074,48,132103,85960490000.0,13634799000.0,28368105000.0,43914020000.0,18.001745,219.64868,7.3418717,125.1163,3.8458765
1.074,48,132104,41891370000.0,7810984000.0,10782823000.0,23272192000.0,9.992157,176.14258,4.709346,102.72257,2.9274516
1.074,48,132106,15438628000.0,1811966500.0,4407763500.0,9199250000.0,3.0489244,144.11336,2.1436284,83.26545,1.6445158
1.074,48,135194,86107630000.0,9521831000.0,11974402000.0,64596226000.0,3.917242,158.8394,12.961226,95.72801,7.401995
1.074,48,135196,38313705000.0,5681125400.0,2639864000.0,29988542000.0,1.6332215,118.02584,16.663631,68.34239,5.9489512
1.074,48,139695,7850552000.0,1429395500.0,2354010400.0,4057853000.0,1.0677898,91.92413,2.6734297,54.577366,2.0167305
1.074,48,143106,277937700000.0,23967699000.0,103025080000.0,150746760000.0,25.867582,394.2382,0.739691,223.31401,5.117219
1.074,48,143107,61766095000.0,9551236000.0,17802322000.0,34387160000.0,8.426498,174.1343,6.718557,102.52981,4.5465236
1.074,48,143108,46073770000.0,11126362000.0,9413261000.0,25523680000.0,17.01602,170.88264,8.899767,110.09036,3.4578185
1.074,48,143109,9996195000.0,1324400800.0,1068029440.0,7598435000.0,0.66276014,99.76493,19.319305,58.655197,2.4762487
1.074,48,143111,13934770000.0,2783704000.0,1549452700.0,9596733000.0,1.3139352,109.368416,11.433951,61.666782,2.7880907
1.074,48,143113,12730766000.0,2181510000.0,1149524900.0,9396631000.0,0.8535596,97.15952,16.00639,55.71986,3.145084
1.074,48,143116,8751947000.0,1334881300.0,1811017500.0,5599229000.0,0.9314688,101.038734,4.174782,62.176243,1.8492309
