z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.496,40,1,531086180000.0,42962883000.0,252205630000.0,235325060000.0,98.71566,634.7893,0.669044,245.53114,4.777499
1.496,40,3,79658180000.0,11222857000.0,24516790000.0,43851400000.0,20.606712,243.96156,3.9667635,121.62447,2.9496057
1.496,40,5,43909247000.0,4426381000.0,13002409000.0,26453406000.0,4.512349,185.6815,4.8278136,101.16808,2.7499447
1.496,40,6,51217750000.0,8324702700.0,15123257000.0,27741594000.0,8.585408,189.29924,11.280277,113.67629,3.2574763
1.496,40,7,42508497000.0,6786269000.0,9669979000.0,26040041000.0,8.344822,172.4808,4.508883,95.918594,3.158042
1.496,40,8,69655480000.0,14188507000.0,11963965000.0,43489310000.0,10.651829,176.15533,10.249521,97.69257,4.837149
1.496,40,9,47305760000.0,8891233000.0,11775208000.0,26617663000.0,16.046005,179.57486,1.9610264,114.30484,3.3413084
1.496,40,11,26562396000.0,4026742800.0,7520970000.0,14997221000.0,4.247997,163.1811,3.4980898,91.147545,2.1647978
1.496,40,12,30327050000.0,3237926100.0,11223922000.0,15821677000.0,5.735128,199.64818,2.6214962,108.24645,1.6589344
1.496,40,14,7993305600.0,1283935900.0,782674800.0,5923657000.0,0.9732958,102.5283,18.656063,57.312794,1.8005152
1.496,40,16,12774431000.0,2080913000.0,1474801400.0,9213317000.0,1.1353545,101.068,13.317325,58.281162,2.7405925
1.496,40,17,23951145000.0,1578768900.0,11198851000.0,11112246000.0,2.4394753,203.67717,0.52985775,107.49792,1.5096943
1.496,40,18,21852950000.0,2145475500.0,4854397000.0,14834779000.0,1.8577929,142.8474,4.0694323,80.14619,2.3084664
1.496,40,20,10917967000.0,1537388400.0,1043995500.0,8333049300.0,1.0619664,110.721344,7.700236,66.99295,2.0802534
1.496,40,23,6880322600.0,990701900.0,1139874700.0,4745732000.0,1.2443604,99.58764,8.240389,60.672256,1.5697266
1.496,40,25,4670288000.0,674363400.0,864763600.0,3125858000.0,0.80015427,103.30371,9.083908,65.49891,1.0339785
1.496,40,26,7068359700.0,952852300.0,971582300.0,5140945400.0,0.5599753,98.68318,7.597732,58.23956,1.6871792
1.496,40,28,12130180000.0,1147186600.0,1153736200.0,9825420000.0,0.387691,100.879295,10.471196,60.129436,2.7635157
1.496,40,29,8482441700.0,545734660.0,1466357100.0,6464976400.0,0.38863593,103.589096,5.740793,60.468136,1.7595295
1.496,40,31,8154750500.0,1704616700.0,595900000.0,5854234600.0,1.0234277,95.07489,8.007793,58.20187,2.0750127
1.496,40,32,8579061000.0,1106314400.0,1817758700.0,5652771000.0,0.890681,108.666016,2.938436,60.37532,1.5644767
1.496,40,33,5871297500.0,1153314600.0,658475500.0,4057399000.0,1.154231,86.450195,11.304055,53.645702,1.7198046
1.496,40,35,6089899500.0,796155970.0,3993837000.0,1282287000.0,5.8167934,190.68776,0.3619227,94.586136,0.42415488
1.496,40,36,5428985300.0,643638800.0,347254620.0,4438092000.0,0.31501925,77.77465,13.072454,48.84206,2.1629798
1.496,40,38,9453672000.0,614898050.0,131836504.0,8706937000.0,0.08018283,73.49886,6.9262843,46.058125,3.7666123
1.496,40,40,5160477000.0,426717500.0,122790140.0,4610969000.0,0.0652536,67.67033,15.469277,41.07751,2.7596712
1.496,40,42,4613326300.0,409514370.0,210844940.0,3992967000.0,0.08730471,73.83966,10.4514475,45.391613,2.32746
1.496,40,45,5478109700.0,740194370.0,241779180.0,4494810600.0,0.2796863,68.44006,6.300356,42.060143,2.54588
1.496,40,47,4808035000.0,468209000.0,934689000.0,3400374300.0,0.5035952,87.60428,2.4677243,56.52909,1.3512523
1.496,40,62,3547666400.0,226463170.0,163129340.0,3158073900.0,0.07433484,61.812,8.415587,39.313465,2.2709944
1.496,40,65,3208304400.0,147016140.0,321114700.0,2740173600.0,0.06621459,67.74784,5.2670746,39.415302,1.5703772
1.496,40,79,1174120000.0,123395530.0,101941010.0,948783360.0,0.07738579,48.71824,3.7107923,28.236364,1.1076864
1.496,40,90,2955198200.0,164330900.0,102420690.0,2688446500.0,0.06818209,57.579914,5.339532,35.70391,1.9620205
1.496,40,97,1963429100.0,257074400.0,400926700.0,1305428000.0,0.3379562,64.66944,0.89087194,37.618896,1.0633906
1.496,40,15217,117844940000.0,11872368000.0,64645660000.0,41142534000.0,46.202515,435.67435,0.51522005,193.10825,2.4181569
1.496,40,15218,88499910000.0,8825284000.0,40902230000.0,38621065000.0,19.483751,347.39825,0.499078,153.645,2.2332964
1.496,40,15219,50984112000.0,3741983700.0,37197156000.0,9891668000.0,60.46239,440.17212,0.50080836,183.5086,0.8021244
1.496,40,15220,66942136000.0,6714843000.0,17072371000.0,43126317000.0,5.631847,188.25069,7.549139,111.04495,4.0682826
1.496,40,15221,70925700000.0,14601082000.0,14424156000.0,41869890000.0,23.077211,194.73218,5.284943,117.43306,4.2074113
1.496,40,15222,22655259000.0,1257259300.0,14342317000.0,6973626000.0,4.106787,280.34036,0.46956807,123.261375,0.7987435
1.496,40,15223,15278841000.0,2255868000.0,3271100700.0,9736487000.0,2.4708471,140.23293,5.2424426,75.70112,1.7252097
1.496,40,15224,30206437000.0,1057652400.0,12568023000.0,16530883000.0,1.5361407,196.98396,1.8623141,94.330605,1.8576528
1.496,40,15226,26712850000.0,2395527400.0,8241522000.0,16050365000.0,1.8756264,154.55295,3.9693265,84.548355,2.4266412
1.496,40,15227,23519132000.0,2535272000.0,5035392500.0,15933300000.0,1.899355,143.48813,5.6183143,78.206116,2.4597626
1.496,40,15228,27151217000.0,4180300500.0,3725832400.0,19237478000.0,3.0753567,131.19588,10.865319,78.55622,3.4751937
1.496,40,15229,12108274000.0,1807239700.0,2057352000.0,8237763600.0,1.4490442,111.56991,6.835246,61.526203,2.1432369
1.496,40,15230,15129343000.0,2120037500.0,491053600.0,12516590000.0,0.6816482,102.2293,15.333701,61.609673,3.379371
1.496,40,15231,11072602000.0,1233445100.0,812806900.0,9024105000.0,0.61980635,105.66617,16.212072,59.583637,2.7316322
1.496,40,15232,10514029000.0,1876223600.0,1568963600.0,7063921000.0,1.2248371,98.73634,9.377868,58.97899,2.3645988
1.496,40,15233,8623277000.0,781975900.0,2284320000.0,5545233000.0,0.6463415,108.198875,2.2102911,57.219154,1.600062
1.496,40,15236,14738543000.0,1961631000.0,1258614800.0,11514718000.0,0.81819683,93.48963,9.258584,54.043747,3.6589832
1.496,40,15237,7267610000.0,1797680300.0,2307695000.0,3153990400.0,3.5244267,114.30474,1.5466897,63.255936,1.2556751
1.496,40,15239,11367716000.0,777816450.0,2315058200.0,8267711000.0,0.57407075,105.116455,2.8658502,58.860058,2.2525463
1.496,40,15240,4704981500.0,249859300.0,1961593300.0,2482899500.0,0.30817273,114.31901,0.5589051,53.211628,0.9330581
1.496,40,15241,8342789000.0,857464500.0,1683488100.0,5795247600.0,0.530623,90.20813,4.577654,51.712605,2.209594
1.496,40,15243,2919705600.0,146797150.0,175776600.0,2595882200.0,0.042166226,74.33254,8.921793,43.84806,1.3446183
1.496,40,15248,2762685000.0,212203440.0,127022744.0,2423458800.0,0.08151164,65.24386,7.4645896,37.877563,1.537424
1.496,40,25875,41046614000.0,1393847800.0,21071618000.0,18534173000.0,6.993064,257.44388,0.68610877,120.10894,1.8188784
1.496,40,25876,49506290000.0,1092305900.0,30232790000.0,18058193000.0,4.1658397,353.56708,0.41975015,134.42545,1.5191809
1.496,40,25877,60035130000.0,7149294000.0,13249419000.0,39617036000.0,5.773027,180.11217,6.6559296,102.03914,3.996152
1.496,40,25878,61501506000.0,8972701000.0,9538568000.0,42965234000.0,5.3077497,175.56567,12.0336895,106.44154,4.456802
1.496,40,25879,24237790000.0,2596264400.0,11849910000.0,9740571000.0,9.881064,224.4236,1.2143056,112.569756,1.118676
1.496,40,25880,4805817300.0,783975040.0,687200600.0,3332312300.0,0.9321161,99.18812,19.610353,60.886124,1.3862981
1.496,40,25882,18021001000.0,3790340400.0,1848669600.0,12377743000.0,2.1623077,107.482,8.26324,65.84685,3.37957
1.496,40,25884,23908633000.0,3712982500.0,3769000200.0,16415631000.0,4.1841846,133.96355,3.1249943,75.0529,3.0950122
1.496,40,25885,7848050000.0,1117956600.0,1334798800.0,5390052000.0,0.9463304,106.9721,5.013184,61.380264,1.5515786
1.496,40,25887,16405054000.0,739297660.0,5362426000.0,10275084000.0,0.8102004,160.65742,0.5969832,78.69567,1.6890026
1.496,40,25890,15201527000.0,2549123000.0,1614058900.0,11034201000.0,1.4949785,101.83001,5.2087603,57.156723,3.1786397
1.496,40,25891,4884059000.0,524728800.0,3630160100.0,729170240.0,1.4393371,186.67578,0.1742565,57.853382,0.7085612
1.496,40,25895,5017298000.0,1456298600.0,534019650.0,3025126100.0,1.2459338,80.54276,4.6385846,50.27307,1.6937504
1.496,40,25896,6965771300.0,1107760400.0,701267140.0,5153196000.0,1.1202546,84.35567,7.299292,56.04095,2.1196256
