,Snapshot,SubhaloID,$z$
0,32,1,2.103
1,32,2,2.103
2,32,4,2.103
3,32,5,2.103
4,32,6,2.103
5,32,7,2.103
6,32,7467,2.103
7,32,7468,2.103
8,32,7469,2.103
9,32,7470,2.103
10,32,7471,2.103
11,32,7478,2.103
12,32,14356,2.103
13,32,14359,2.103
14,32,14360,2.103
15,32,14362,2.103
16,32,14364,2.103
17,32,14457,2.103
18,32,20550,2.103
19,32,20551,2.103
20,32,20554,2.103
21,32,20555,2.103
22,32,20560,2.103
23,32,23892,2.103
24,32,23894,2.103
25,32,23895,2.103
26,32,23897,2.103
27,32,23898,2.103
28,32,23899,2.103
29,32,23900,2.103
30,32,23909,2.103
31,32,27674,2.103
32,32,27677,2.103
33,32,27679,2.103
34,32,27681,2.103
35,32,27704,2.103
36,32,31234,2.103
37,32,31235,2.103
38,32,33608,2.103
39,32,33609,2.103
40,32,33613,2.103
41,32,33620,2.103
42,32,36027,2.103
43,32,36031,2.103
44,32,38827,2.103
45,32,38830,2.103
46,32,41191,2.103
47,32,43204,2.103
48,32,43205,2.103
49,32,43206,2.103
50,32,47370,2.103
51,32,47371,2.103
52,32,47372,2.103
53,32,47374,2.103
54,32,49477,2.103
55,32,49478,2.103
56,32,49479,2.103
57,32,49482,2.103
58,32,49484,2.103
59,32,51520,2.103
60,32,51522,2.103
61,32,53578,2.103
62,32,53579,2.103
63,32,53580,2.103
64,32,55293,2.103
65,32,55295,2.103
66,32,56999,2.103
67,32,57001,2.103
68,32,57003,2.103
69,32,57004,2.103
70,32,57009,2.103
71,32,58672,2.103
72,32,58673,2.103
73,32,58674,2.103
74,32,58677,2.103
75,32,58680,2.103
76,32,58682,2.103
77,32,61244,2.103
78,32,62614,2.103
79,32,63895,2.103
80,32,63896,2.103
81,32,63897,2.103
82,32,63898,2.103
83,32,63901,2.103
84,32,65473,2.103
85,32,65474,2.103
86,32,65477,2.103
87,32,67205,2.103
88,32,67206,2.103
89,32,67207,2.103
90,32,67208,2.103
91,32,67210,2.103
92,32,69877,2.103
93,32,69878,2.103
94,32,69879,2.103
95,32,70895,2.103
96,32,72124,2.103
97,32,72125,2.103
98,32,72126,2.103
99,32,73298,2.103
100,32,73299,2.103
101,32,73301,2.103
102,32,74498,2.103
103,32,74499,2.103
104,32,74500,2.103
105,32,75340,2.103
106,32,76240,2.103
107,32,76244,2.103
108,32,77188,2.103
109,32,78369,2.103
110,32,78370,2.103
111,32,78371,2.103
112,32,79333,2.103
113,32,81550,2.103
114,32,82597,2.103
115,32,83486,2.103
116,32,83487,2.103
117,32,83488,2.103
118,32,85472,2.103
119,32,85473,2.103
120,32,85475,2.103
121,32,85480,2.103
122,32,86394,2.103
123,32,88151,2.103
124,32,88942,2.103
125,32,89741,2.103
126,32,89742,2.103
127,32,89743,2.103
128,32,90529,2.103
129,32,90531,2.103
130,32,90532,2.103
131,32,91397,2.103
132,32,92093,2.103
133,32,92095,2.103
134,32,92888,2.103
135,32,92889,2.103
136,32,92891,2.103
137,32,92892,2.103
138,32,94008,2.103
139,32,94009,2.103
140,32,94010,2.103
141,32,94838,2.103
142,32,95587,2.103
143,32,96375,2.103
144,32,96959,2.103
145,32,97731,2.103
146,32,97732,2.103
147,32,98580,2.103
148,32,99290,2.103
149,32,99291,2.103
150,32,99737,2.103
151,32,100347,2.103
152,32,100349,2.103
153,32,100897,2.103
154,32,101639,2.103
155,32,101640,2.103
156,32,101641,2.103
157,32,101642,2.103
158,32,103332,2.103
159,32,104081,2.103
160,32,104649,2.103
161,32,104650,2.103
162,32,104651,2.103
163,32,104675,2.103
164,32,105631,2.103
165,32,105942,2.103
166,32,105943,2.103
167,32,105944,2.103
168,32,106715,2.103
169,32,106717,2.103
170,32,106718,2.103
171,32,108299,2.103
172,32,108300,2.103
173,32,108722,2.103
174,32,108723,2.103
175,32,109134,2.103
176,32,109135,2.103
177,32,109594,2.103
178,32,109595,2.103
179,32,109596,2.103
180,32,110113,2.103
181,32,110114,2.103
182,32,110644,2.103
183,32,111651,2.103
184,32,111652,2.103
185,32,112260,2.103
186,32,112261,2.103
187,32,112262,2.103
188,32,113024,2.103
189,32,113025,2.103
190,32,113552,2.103
191,32,113554,2.103
192,32,114609,2.103
193,32,114610,2.103
194,32,114611,2.103
195,32,115221,2.103
196,32,115725,2.103
197,32,115728,2.103
198,32,116408,2.103
199,32,116409,2.103
200,32,116938,2.103
201,32,116940,2.103
202,32,117690,2.103
203,32,118358,2.103
204,32,118935,2.103
205,32,118936,2.103
206,32,119627,2.103
207,32,119628,2.103
208,32,119629,2.103
209,32,119630,2.103
210,32,120144,2.103
211,32,120145,2.103
212,32,120516,2.103
213,32,120920,2.103
214,32,120921,2.103
215,32,121489,2.103
216,32,121490,2.103
217,32,122104,2.103
218,32,122563,2.103
219,32,122951,2.103
220,32,122952,2.103
221,32,123541,2.103
222,32,124016,2.103
223,32,124017,2.103
224,32,124446,2.103
225,32,125001,2.103
226,32,125498,2.103
227,32,125828,2.103
228,32,126280,2.103
229,32,126281,2.103
230,32,126764,2.103
231,32,126765,2.103
232,32,126767,2.103
233,32,127349,2.103
234,32,127759,2.103
235,32,127760,2.103
236,32,128385,2.103
237,32,128822,2.103
238,32,129252,2.103
239,32,129253,2.103
240,32,129258,2.103
241,32,129882,2.103
242,32,129883,2.103
243,32,129885,2.103
244,32,129888,2.103
245,32,130490,2.103
246,32,130979,2.103
247,32,130980,2.103
248,32,130983,2.103
249,32,131575,2.103
250,32,131578,2.103
251,32,132076,2.103
252,32,132723,2.103
253,32,133018,2.103
254,32,133019,2.103
255,32,133334,2.103
256,32,133849,2.103
257,32,134763,2.103
258,32,134764,2.103
259,32,134765,2.103
260,32,135285,2.103
261,32,135286,2.103
262,32,135899,2.103
263,32,136364,2.103
264,32,137192,2.103
265,32,137193,2.103
266,32,137450,2.103
267,32,137735,2.103
268,32,137736,2.103
269,32,137737,2.103
270,32,138399,2.103
