,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
5,0.461,69,25,21677079000.0,1594443900.0,6102377000.0,13958142000.0,0.75907844,136.2425,9.514418,75.675934,2.5933669
369,0.461,69,382331,115871980000.0,19716317000.0,17092981000.0,78996320000.0,10.67634,184.3922,14.758657,106.01193,7.3315096
480,0.461,69,425669,34526876000.0,2813315800.0,17623570000.0,13979015000.0,3.887725,226.37639,0.5037516,95.35685,1.828672
563,0.461,69,448845,100383690000.0,6626887700.0,20299235000.0,73395724000.0,2.2731845,190.26378,7.044843,101.97515,6.149847
722,0.461,69,485116,33248301000.0,1974771800.0,9686965000.0,21558390000.0,0.958699,149.11569,5.2702246,90.62944,3.2432175
1070,0.461,69,540031,70941704000.0,10488878000.0,6045505500.0,54400094000.0,1.6644582,128.48297,20.34459,68.112,9.267167
1343,0.461,69,574342,931980300.0,89749000.0,110338620.0,731892700.0,0.06463765,58.30385,4.594492,36.626057,0.7948037
1978,0.482,68,124,4710509600.0,691808400.0,410057280.0,3608643800.0,0.21075124,68.46287,6.8903313,40.489666,2.2373776
3677,0.482,68,633783,6793470500.0,875713800.0,452804130.0,5463558700.0,0.19979407,81.416084,14.896245,45.408413,2.6130478
4448,0.503,67,431399,60970115000.0,8212069000.0,9097265000.0,43641315000.0,3.2469506,148.83795,13.2422,84.71859,5.938495
4692,0.503,67,487276,26836892000.0,3063470600.0,8378728000.0,15373832000.0,2.8101811,144.19975,4.5752144,82.901024,2.7970502
4884,0.503,67,520151,3883981800.0,538163650.0,281216100.0,3064602000.0,0.13459618,68.93913,11.413264,43.30673,1.950758
4929,0.503,67,527160,15359670000.0,1884227800.0,1308987100.0,12161761000.0,0.4063856,109.13063,39.698536,62.59087,4.211892
5091,0.503,67,547898,11156103000.0,1447719200.0,1001313860.0,8702853000.0,0.52751356,93.53285,17.915382,50.842487,2.941952
5130,0.503,67,553408,30153214000.0,2720812300.0,7894307000.0,19521978000.0,1.2359993,134.39435,6.688871,66.77574,3.6067336
5192,0.503,67,561619,8186615300.0,861816900.0,1588710400.0,5727639000.0,0.437823,98.08969,15.89929,53.92492,2.0851805
5237,0.503,67,566995,6710964000.0,646214200.0,1108260500.0,4951279000.0,0.29193252,84.6161,16.578993,46.569416,2.1691098
