,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
10,0.0,99,141,2287514400.0,106992860.0,193112910.0,1987408600.0,0.04004319,71.60406,7.6880927,46.702038,1.3022468
66,0.0,99,220600,35417070000.0,1821259100.0,11809006000.0,21760310000.0,0.53059536,140.43419,5.5855355,73.84084,3.928261
89,0.0,99,282785,17231528000.0,1252267500.0,4173415700.0,11783790000.0,0.36404872,110.49182,3.7231116,57.729534,3.1950314
90,0.0,99,282786,14128831000.0,912548500.0,2154624300.0,11051898000.0,0.16491866,94.36544,5.449435,52.63552,3.4346445
211,0.0,99,465256,6494524400.0,580840100.0,786964350.0,5120980000.0,0.12955806,82.80965,20.406229,47.248497,2.4215543
304,0.0,99,548152,26051880000.0,1800477400.0,6309543000.0,17922523000.0,0.58542526,127.692924,7.475105,68.111176,3.4425519
354,0.0,99,583747,590308100.0,208069740.0,196656140.0,185582220.0,0.16030703,44.940666,0.7720207,19.219667,0.86691165
600,0.0,99,666988,16699526000.0,781175300.0,3220391200.0,12684475000.0,0.22004245,109.76082,17.354284,58.138752,3.4485645
656,0.0,99,680099,624299650.0,133645800.0,122211900.0,368442000.0,0.0756292,42.420727,1.3945732,24.803946,0.7529842
662,0.0,99,681133,10791874000.0,577022300.0,1994355300.0,8211446300.0,0.13981563,98.87957,12.341881,50.81279,2.6145718
706,0.0,99,691655,12484605000.0,504813500.0,1752109200.0,10216097000.0,0.08954129,106.02159,10.997617,55.193844,2.5836444
762,0.0,99,703702,9186447000.0,768253630.0,1066600450.0,7346152000.0,0.10530527,84.81304,18.476425,45.057976,3.282724
971,0.0,99,738605,3356959700.0,245692160.0,387403500.0,2720209000.0,0.040601898,67.757835,8.315445,36.390083,1.8361886
1066,0.0,99,756758,2319351800.0,242139460.0,344809280.0,1732403300.0,0.065366186,69.37947,15.184026,35.512573,1.4238575
1067,0.0,99,757040,4517162000.0,281484450.0,531293150.0,3704384300.0,0.0758334,74.4534,10.99889,40.148735,2.2325912
1118,0.0,99,765197,2802732500.0,134453000.0,366424600.0,2301854700.0,0.04252815,70.47231,12.5796995,37.618225,1.6012871
