,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
3,0.0,99,45,9927869000.0,572040300.0,1236579000.0,8113436700.0,0.10097768,83.977585,13.922999,45.21598,3.2726533
92,0.0,99,264886,138216540000.0,7053287000.0,59807453000.0,71075270000.0,2.9203932,301.05673,0.8880911,136.69766,5.7816033
125,0.0,99,329511,15213715000.0,734475200.0,1944818700.0,12522489000.0,0.103310585,100.57737,15.10923,53.08817,3.4125867
188,0.0,99,421559,10423458000.0,1118197500.0,1443101400.0,7857523700.0,0.22628292,85.76619,6.8249364,46.852764,3.0729523
302,0.0,99,520886,2807603200.0,146225500.0,290336700.0,2368101600.0,0.024134139,71.209816,17.2564,39.427944,1.6734785
318,0.0,99,529366,10682972000.0,761352770.0,2374589400.0,7537179000.0,0.25658926,87.49051,5.339941,47.40193,3.0183458
418,0.0,99,590013,13176772000.0,1015340740.0,2679377400.0,9471046000.0,0.31076422,103.641174,9.135931,56.138096,2.812007
449,0.0,99,601123,39506678000.0,1626160100.0,10351112000.0,27467528000.0,0.27381712,153.72923,27.3578,83.534035,3.8762364
474,0.0,99,611780,29807755000.0,1810164700.0,9904997000.0,18057740000.0,0.53053975,129.95407,2.0173898,67.30087,3.8454654
488,0.0,99,617027,33530444000.0,2003488400.0,7402883000.0,24087572000.0,0.32780164,137.70013,22.278982,71.73433,3.955113
582,0.0,99,645213,17633602000.0,969240640.0,2980318200.0,13671828000.0,0.121664725,110.32441,29.811852,59.916958,3.5684276
689,0.0,99,674405,27589290000.0,2089672100.0,6364613600.0,19114060000.0,0.3736544,121.268105,8.387468,59.92509,4.0420785
792,0.0,99,696628,12174163000.0,746182200.0,1321126700.0,10100846000.0,0.12671943,93.42913,15.704002,49.37343,3.3901088
966,0.0,99,722786,4439460400.0,379052960.0,609234560.0,3446203000.0,0.0887629,76.65062,13.598005,41.572525,1.8857069
1172,0.0,99,751645,1602420000.0,142374670.0,193341260.0,1264590800.0,0.036138214,59.600163,14.518444,31.930128,1.2700629
1289,0.0,99,767148,5051896000.0,614298050.0,544454800.0,3893142800.0,0.23858288,76.621544,5.9369535,38.1705,1.8892918
1303,0.0,99,768935,2811017700.0,166947950.0,380329800.0,2263740200.0,0.051691625,68.12154,11.252446,36.290577,1.6497098
1309,0.0,99,769794,1266554900.0,91578260.0,208497150.0,966479550.0,0.061375514,64.190704,15.823738,34.456326,1.0675719
1324,0.0,99,771333,2206681900.0,249950700.0,304641100.0,1652090200.0,0.060842328,60.25432,11.524639,32.09549,1.5423883
1329,0.0,99,772301,3174020400.0,286893440.0,484540380.0,2402586400.0,0.09189155,69.70221,11.09492,36.518814,1.5491139
1586,0.0,99,806241,686975700.0,68965460.0,124334290.0,493675900.0,0.04766787,53.848118,12.441092,29.041052,0.66536903
1606,0.0,99,811018,1809371500.0,129293730.0,179992700.0,1500085100.0,0.04740469,64.782776,4.8238926,33.461086,1.0218627
1692,0.01,98,65294,186179900000.0,11205645000.0,61234827000.0,113560440000.0,4.2945127,250.85156,1.2112223,138.34769,7.3103633
1720,0.01,98,118224,1543596700.0,105282220.0,279900220.0,1158414200.0,0.047182184,59.12884,12.960632,32.846695,1.1521341
1753,0.01,98,198583,949123140.0,72704780.0,145886900.0,730531460.0,0.020275313,51.39052,9.087564,27.985044,0.9282838
1888,0.01,98,423232,13441397000.0,1268029300.0,2445735700.0,9717883000.0,0.33012643,96.62694,8.397969,53.934025,3.1313722
1892,0.01,98,426087,1802022500.0,181038860.0,249762480.0,1371221100.0,0.0657764,56.30703,8.4713955,31.260191,1.2602863
1949,0.01,98,482557,54702240000.0,4329526300.0,14579354000.0,35762463000.0,1.8106623,162.38281,7.8895836,90.09528,4.502795
2044,0.01,98,555973,2041049600.0,200051520.0,294176900.0,1546821000.0,0.04343771,53.97857,5.1620913,30.299166,1.5874634
2178,0.01,98,615493,37994828000.0,4152232700.0,7935874000.0,25888946000.0,0.8830904,125.83898,13.715362,65.13251,5.278615
2267,0.01,98,642663,1740925400.0,240877460.0,257237100.0,1242811000.0,0.10020513,56.712566,9.066215,35.30295,1.3521575
2284,0.01,98,646714,25005384000.0,1930612600.0,3647229400.0,19411718000.0,0.18941891,119.21833,14.944626,63.188923,4.1280465
2297,0.01,98,649125,787749760.0,53811590.0,152689230.0,581248960.0,0.029857166,49.957306,7.7462683,29.21595,0.793209
2314,0.01,98,654732,787108100.0,68505580.0,120564950.0,598037570.0,0.0486009,59.78663,6.0697913,34.57271,0.66057914
2326,0.01,98,658461,2024647300.0,204744400.0,341597630.0,1478305400.0,0.099532105,54.691326,4.6857214,34.363754,1.5300428
2485,0.01,98,696568,4588401000.0,464285860.0,675914430.0,3443026700.0,0.13164805,80.40756,23.935764,44.95464,2.006631
2636,0.01,98,718958,9929406000.0,979686660.0,1397038100.0,7546254300.0,0.19861227,88.39385,9.969781,45.844498,2.9542456
2668,0.01,98,724313,9157500000.0,494259800.0,1254793000.0,7401962500.0,0.07971935,90.094604,9.013365,46.149075,2.599685
2781,0.01,98,739697,4870593000.0,560318700.0,747062400.0,3561908200.0,0.16605249,73.287636,15.72467,39.136246,2.121453
2840,0.01,98,748700,3182837200.0,146397780.0,353021120.0,2679825400.0,0.018725,69.59487,10.333892,36.377995,1.6898714
2896,0.01,98,755739,2853628400.0,77129980.0,325186900.0,2449322200.0,0.020975964,70.26279,15.754827,37.964127,1.67232
