,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
125,2.103,32,38828,10883986000.0,1905201300.0,2181666000.0,6797119000.0,1.7649672,110.16138,1.9744636,63.04435,1.9714185
175,2.103,32,53580,59844220000.0,13352734000.0,5452588000.0,41032730000.0,13.259546,167.61516,10.211276,102.54124,4.603969
201,2.103,32,58686,1992275200.0,162893730.0,253289620.0,1574045700.0,0.16522236,71.63363,4.0477085,47.222847,0.910914
335,2.103,32,90532,4691588600.0,1049810240.0,546643500.0,3093642000.0,1.2128048,80.2465,6.4088616,51.601276,1.6047945
591,2.103,32,133850,3433511000.0,350420900.0,134647040.0,2948443100.0,0.08134286,65.41056,10.496465,38.83211,2.0109856
595,2.103,32,134763,29534648000.0,4552076300.0,7619012000.0,17341727000.0,7.9019685,203.89175,69.27487,138.40768,2.281492
912,2.103,32,182022,31932146000.0,4669510000.0,3747273500.0,23506326000.0,3.9588573,161.18634,50.030556,103.12377,3.0648544
1219,2.103,32,218041,11846214000.0,1470958300.0,1404628200.0,8966935000.0,2.072375,122.124084,21.600473,73.56677,1.951281
1369,2.103,32,234632,30784890000.0,3567386000.0,2610355200.0,24597584000.0,2.0695455,147.13725,12.347428,83.25937,3.381648
1730,2.103,32,269866,9769427000.0,1772892400.0,2842711600.0,5145028600.0,3.322667,136.93422,21.452402,83.60725,1.1543907
2286,2.103,32,315652,18902268000.0,3815957000.0,1525211500.0,13557484000.0,2.2795002,126.45811,11.52606,74.730865,2.7702372
2383,2.103,32,323833,11399668000.0,1706541000.0,656464100.0,9034542000.0,0.82939255,111.361916,27.25731,68.29092,2.4358518
2691,2.103,32,346398,3803767800.0,533443040.0,406136130.0,2862231300.0,0.5517084,100.14784,30.48216,60.720295,1.2892812
2731,2.103,32,349349,2928901600.0,285861000.0,176476030.0,2466564600.0,0.10295434,73.87383,13.838675,44.596527,1.3971795
2820,2.103,32,356011,5475672600.0,465335520.0,392699040.0,4615960600.0,0.18136379,98.07393,22.55612,58.186047,1.6272677
3198,2.103,32,381991,2127233700.0,180488140.0,140969400.0,1804548900.0,0.072566144,69.17316,8.201126,42.038254,1.2186145
3465,2.103,32,398513,5945875000.0,504661980.0,528828740.0,4910895600.0,0.2953126,99.881714,8.032262,59.06234,1.47691
3527,2.103,32,402218,12436833000.0,1121796500.0,466397300.0,10847259000.0,0.26657584,95.564354,13.297338,54.98656,3.2258744
3735,2.103,32,415223,7193809000.0,966525600.0,419331200.0,5807952400.0,0.4122644,91.1037,13.115152,53.03138,2.0970376
3777,2.103,32,417692,3999472400.0,426795460.0,120121736.0,3452555300.0,0.10398697,78.13403,16.28812,48.197536,2.1154563
4010,2.103,32,431270,5029787600.0,352553060.0,186507710.0,4490726400.0,0.05949048,84.929756,18.591099,49.296402,2.0571127
4074,2.103,32,435138,2804749300.0,230024140.0,143552590.0,2431172400.0,0.07128083,77.99684,10.857707,45.188816,1.4485567
4182,2.103,32,441301,5130236000.0,778455300.0,203178430.0,4148602000.0,0.2582341,80.48434,13.336051,47.643044,2.0487096
4253,2.103,32,446202,9082596000.0,1129625900.0,120402340.0,7832568000.0,0.2293354,83.368614,13.529641,48.153526,3.3994305
4458,2.103,32,459528,5468702000.0,552935230.0,221762030.0,4694004700.0,0.21321258,80.75147,8.515091,46.799683,1.8951118
4621,2.103,32,471865,4792486400.0,427680600.0,129084420.0,4235721500.0,0.12065644,69.979065,19.391315,41.763016,2.3506758
4748,2.103,32,481307,2833625900.0,260780510.0,141672910.0,2431172400.0,0.0988204,82.10829,13.342211,52.49933,1.3016182
4815,2.103,32,487037,3427389000.0,448016830.0,110334530.0,2869037600.0,0.13020213,76.86624,14.6381445,46.64316,1.9930876
4917,2.103,32,496879,3538619000.0,322886370.0,107570340.0,3108161800.0,0.07558586,69.05072,10.25732,40.87877,1.8137124
5035,2.103,32,509954,2309543000.0,170320210.0,107800780.0,2031422000.0,0.051032305,70.08457,11.776756,41.46275,1.3034377
5464,2.208,31,72780,38469685000.0,7287732000.0,17675678000.0,13456753000.0,38.153004,253.02982,0.48701772,148.94518,1.3894743
5552,2.208,31,88638,36313346000.0,5743592400.0,11782275000.0,18750157000.0,13.071394,212.42781,0.42506462,116.19737,1.8038334
5613,2.208,31,100998,12944239000.0,2811957000.0,2167220700.0,7960524300.0,4.1957717,131.26398,8.885593,81.24439,1.6849264
5803,2.208,31,132258,2175138300.0,287337440.0,173093810.0,1714707100.0,0.2019705,59.514114,2.8677685,38.284122,1.3326184
6024,2.208,31,160974,38479712000.0,4987183600.0,14471634000.0,18986557000.0,10.303602,232.34592,2.5199556,125.1147,1.5520948
6185,2.208,31,180621,3082219500.0,367109200.0,238563310.0,2476547000.0,0.1539257,74.90975,6.5793905,47.427074,1.4220343
6451,2.208,31,211232,1270192800.0,250822160.0,117776790.0,901593800.0,0.17843848,53.595665,2.1375158,33.961494,0.96250117
6503,2.208,31,217337,35640640000.0,7179034600.0,3128867300.0,25324940000.0,5.051671,161.55318,25.44416,101.61097,3.3563514
6754,2.208,31,242715,11295827000.0,1754854700.0,2172384500.0,7361125400.0,2.0924633,128.07784,3.0616698,73.00638,1.4823508
6895,2.208,31,255944,13665559000.0,2971253200.0,3085486800.0,7597981000.0,5.240777,145.97343,2.3753247,79.61397,1.3843491
7870,2.208,31,334414,6533347300.0,912055900.0,606118500.0,5012989000.0,0.6630986,111.13976,13.984369,66.33382,1.5717849
7984,2.208,31,342569,4274358500.0,428997400.0,475619970.0,3368158500.0,0.24182183,99.913086,18.563171,60.4189,1.3307257
8065,2.208,31,348716,9387196000.0,791844800.0,211448830.0,8382508000.0,0.1947891,90.98068,20.29081,59.98093,2.960951
8145,2.208,31,354265,10815096000.0,1121375900.0,340697340.0,9351711000.0,0.2808031,96.00026,15.664417,56.811123,3.0856442
8869,2.208,31,399919,4244326700.0,580198140.0,163476210.0,3500652300.0,0.22127296,77.86157,24.84557,47.62674,2.096859
9014,2.208,31,409330,3244457700.0,520215170.0,306228860.0,2418013700.0,0.38667056,88.71033,13.189417,54.409763,1.1309321
9198,2.208,31,421284,5049039400.0,563679040.0,147092340.0,4338267600.0,0.16110738,81.977196,14.88263,50.629528,2.026195
9255,2.208,31,425246,1791281300.0,100967090.0,124435736.0,1565878300.0,0.03767827,76.34209,24.32129,47.61724,1.1151983
9551,2.208,31,444846,7647756300.0,809392450.0,133355290.0,6705008000.0,0.09573631,73.715355,14.964108,43.59556,3.6184142
9664,2.208,31,452677,4691638300.0,517570940.0,106685580.0,4067381200.0,0.13987847,76.08934,16.692642,44.127663,2.2885933
9840,2.208,31,466552,4745091600.0,451339970.0,132898330.0,4160853000.0,0.089170866,75.60645,8.148924,43.001816,2.049315
10177,2.208,31,507455,1451364000.0,149530110.0,107573710.0,1194260100.0,0.06708818,69.401215,11.738667,43.07007,0.98824596
10210,2.208,31,517497,3290254800.0,254365070.0,121477624.0,2914412300.0,0.06993174,70.40699,6.856281,40.67739,1.501381
10919,2.316,30,130918,11371276000.0,1581440800.0,868251200.0,8919743000.0,0.7796093,103.88732,11.399437,62.144535,2.4565847
10994,2.316,30,139712,2374476300.0,380962980.0,458408450.0,1532754800.0,0.37780362,75.06625,2.7214398,46.234833,0.9220001
11207,2.316,30,167760,27660988000.0,3448251600.0,14328055000.0,9846295000.0,16.851797,256.02658,0.6463806,120.002106,1.0683247
11334,2.316,30,182034,32489044000.0,5529644000.0,3797755400.0,23153764000.0,4.8061166,160.47176,30.427208,98.63768,3.063987
11349,2.316,30,183455,3226446000.0,374514500.0,272838200.0,2579093800.0,0.21206464,71.4512,4.9837704,46.119186,1.5008575
11850,2.316,30,235738,7896654300.0,516011400.0,490657600.0,6887414300.0,0.13353142,103.39481,18.638075,59.58515,2.2086308
12231,2.316,30,269026,18993370000.0,2650780700.0,539125250.0,15801713000.0,0.77995646,111.50597,16.989828,66.21283,3.7999947
12264,2.316,30,271612,10428131000.0,977639900.0,394623230.0,9055868000.0,0.30298465,98.03317,9.346166,58.785507,2.5677497
12315,2.316,30,275657,6954804000.0,687761400.0,216795470.0,6048891400.0,0.20940134,94.03239,23.896523,57.15985,2.1768036
13171,2.316,30,339080,3953693000.0,353567500.0,323414900.0,3275140600.0,0.2132715,99.19085,18.371527,60.90598,1.2483321
13638,2.316,30,369494,5535795000.0,969379200.0,381060700.0,4185355300.0,0.6877227,96.4843,17.482536,56.104633,1.6571646
13913,2.316,30,386402,7292123600.0,887253600.0,493917440.0,5910952400.0,0.42278257,93.19253,5.6061664,52.734474,1.8680081
13928,2.316,30,387174,5584150500.0,587693000.0,318786900.0,4677670400.0,0.34829324,92.249245,9.916755,52.46342,1.6305292
14011,2.316,30,392384,7757325000.0,924124800.0,418588770.0,6414611000.0,0.34937528,97.98973,9.808921,56.119434,2.0235217
14238,2.316,30,407523,3151492600.0,357436930.0,206794290.0,2587261200.0,0.23438321,79.37319,9.750509,44.982536,1.1950336
14316,2.316,30,413484,1907656200.0,128520600.0,102996824.0,1676138600.0,0.040989727,69.93844,12.417675,42.17176,1.1661749
14445,2.316,30,422294,2810152400.0,395502800.0,119147460.0,2295502300.0,0.21665877,76.80975,22.046297,47.45337,1.4303554
14510,2.316,30,426707,2339590400.0,191614050.0,263568100.0,1884408300.0,0.13632931,86.401665,10.726967,50.521717,0.8944783
14588,2.316,30,432110,4885079600.0,521894900.0,370217280.0,3992967000.0,0.35381255,86.89027,6.2257166,50.209164,1.4098028
14597,2.316,30,432749,2792370200.0,414611070.0,200684430.0,2177074700.0,0.19537413,72.97851,14.932712,42.286728,1.3837695
14718,2.316,30,443221,2982783500.0,255473860.0,145039890.0,2582270000.0,0.15228197,78.74228,13.520372,47.5727,1.2420642
